flight_number,date,STD,ATD,destination,aircraft,airline,airline_code,STD_minutes,ATD_minutes,departure_delay,scheduled_hour,day_of_week,is_weekend,delay_category,is_peak_hour,route_type
AI7334,2025-08-17,19:30,19:30,Pune (PNQ),B738,Air India,"('AI', 'Air India', 0.3)",1170,1170,0,19,6,True,Early,True,Domestic
SG3222,2025-08-17,21:00,21:27,Delhi (DEL),B777,SpiceJet,"('SG', 'SpiceJet', 0.12)",1260,1287,27,21,6,True,Minor Delay,False,Domestic
6E7774,2025-08-17,06:45,07:48,Delhi (DEL),B777,IndiGo,"('6E', 'IndiGo', 0.4)",405,468,63,6,6,True,Severe Delay,True,Domestic
6E5902,2025-08-17,09:00,09:41,Bengaluru (BLR),B737,IndiGo,"('6E', 'IndiGo', 0.4)",540,581,41,9,6,True,Major Delay,True,Domestic
UK9551,2025-08-17,20:00,20:28,Ahmedabad (AMD),B737,Vistara,"('UK', 'Vistara', 0.1)",1200,1228,28,20,6,True,Minor Delay,True,Domestic
6E6417,2025-08-17,17:15,17:40,Bengaluru (BLR),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",1035,1060,25,17,6,True,Minor Delay,True,Domestic
6E4795,2025-08-17,23:30,23:43,Chennai (MAA),A320,IndiGo,"('6E', 'IndiGo', 0.4)",1410,1423,13,23,6,True,On Time,False,Domestic
SG1321,2025-08-17,17:45,17:48,Delhi (DEL),A320,SpiceJet,"('SG', 'SpiceJet', 0.12)",1065,1068,3,17,6,True,On Time,True,Domestic
AI9452,2025-08-17,06:00,06:46,Jaipur (JAI),B787,Air India,"('AI', 'Air India', 0.3)",360,406,46,6,6,True,Major Delay,True,Domestic
6E2309,2025-08-17,15:45,15:47,Jaipur (JAI),A320,IndiGo,"('6E', 'IndiGo', 0.4)",945,947,2,15,6,True,On Time,False,Domestic
6E9935,2025-08-17,19:15,19:34,Delhi (DEL),B738,IndiGo,"('6E', 'IndiGo', 0.4)",1155,1174,19,19,6,True,Minor Delay,True,Domestic
6E2864,2025-08-17,06:15,06:44,Delhi (DEL),A321,IndiGo,"('6E', 'IndiGo', 0.4)",375,404,29,6,6,True,Minor Delay,True,Domestic
UK8414,2025-08-17,10:00,10:13,Delhi (DEL),A321,Vistara,"('UK', 'Vistara', 0.1)",600,613,13,10,6,True,On Time,False,Domestic
6E3335,2025-08-17,12:30,12:37,Chennai (MAA),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",750,757,7,12,6,True,On Time,False,Domestic
6E3744,2025-08-17,18:45,18:45,Hyderabad (HYD),B777,IndiGo,"('6E', 'IndiGo', 0.4)",1125,1125,0,18,6,True,Early,True,Domestic
6E8535,2025-08-17,13:15,13:24,Bangkok (BKK),B737,IndiGo,"('6E', 'IndiGo', 0.4)",795,804,9,13,6,True,On Time,False,International
AI1671,2025-08-17,14:45,14:48,Hyderabad (HYD),A321,Air India,"('AI', 'Air India', 0.3)",885,888,3,14,6,True,On Time,False,Domestic
AI7535,2025-08-17,07:00,07:22,Jaipur (JAI),A320,Air India,"('AI', 'Air India', 0.3)",420,442,22,7,6,True,Minor Delay,True,Domestic
6E8497,2025-08-17,15:30,15:55,Delhi (DEL),B787,IndiGo,"('6E', 'IndiGo', 0.4)",930,955,25,15,6,True,Minor Delay,False,Domestic
AI6054,2025-08-17,14:15,14:28,Chennai (MAA),ATR72,Air India,"('AI', 'Air India', 0.3)",855,868,13,14,6,True,On Time,False,Domestic
SG1862,2025-08-17,17:00,17:21,Kolkata (CCU),B737,SpiceJet,"('SG', 'SpiceJet', 0.12)",1020,1041,21,17,6,True,Minor Delay,True,Domestic
6E4936,2025-08-17,08:45,08:54,Kolkata (CCU),B737,IndiGo,"('6E', 'IndiGo', 0.4)",525,534,9,8,6,True,On Time,True,Domestic
AI4308,2025-08-17,21:30,21:30,Hyderabad (HYD),A350,Air India,"('AI', 'Air India', 0.3)",1290,1290,0,21,6,True,Early,False,Domestic
AI8146,2025-08-17,16:30,16:43,Chennai (MAA),ATR72,Air India,"('AI', 'Air India', 0.3)",990,1003,13,16,6,True,On Time,False,Domestic
6E7452,2025-08-17,08:00,08:27,Delhi (DEL),A350,IndiGo,"('6E', 'IndiGo', 0.4)",480,507,27,8,6,True,Minor Delay,True,Domestic
6E2610,2025-08-17,21:15,21:15,Hyderabad (HYD),A321,IndiGo,"('6E', 'IndiGo', 0.4)",1275,1275,0,21,6,True,Early,False,Domestic
AI9465,2025-08-17,22:45,23:03,Delhi (DEL),A321,Air India,"('AI', 'Air India', 0.3)",1365,1383,18,22,6,True,Minor Delay,False,Domestic
UK8171,2025-08-17,13:00,13:20,Chennai (MAA),A321,Vistara,"('UK', 'Vistara', 0.1)",780,800,20,13,6,True,Minor Delay,False,Domestic
AI7115,2025-08-17,12:45,12:51,Pune (PNQ),B777,Air India,"('AI', 'Air India', 0.3)",765,771,6,12,6,True,On Time,False,Domestic
6E3418,2025-08-17,14:00,14:00,Chennai (MAA),A321,IndiGo,"('6E', 'IndiGo', 0.4)",840,840,0,14,6,True,Early,False,Domestic
AI2201,2025-08-17,07:00,07:38,Ahmedabad (AMD),B738,Air India,"('AI', 'Air India', 0.3)",420,458,38,7,6,True,Major Delay,True,Domestic
6E1306,2025-08-17,23:45,23:54,Delhi (DEL),A320,IndiGo,"('6E', 'IndiGo', 0.4)",1425,1434,9,23,6,True,On Time,False,Domestic
6E7138,2025-08-17,21:30,21:30,Bengaluru (BLR),B737,IndiGo,"('6E', 'IndiGo', 0.4)",1290,1290,0,21,6,True,Early,False,Domestic
IX1872,2025-08-17,10:00,10:02,Delhi (DEL),ATR72,Air India Express,"('IX', 'Air India Express', 0.05)",600,602,2,10,6,True,On Time,False,Domestic
SG6715,2025-08-17,05:30,05:45,Delhi (DEL),B737,SpiceJet,"('SG', 'SpiceJet', 0.12)",330,345,15,5,6,True,On Time,False,Domestic
